Sample_Name,L_Iners,L_Crispatus,Atopobium,L_Gasseri,Prevotella,Parvimonas,Sneathia,L_Jensenii,Gardnerella,Peptoniphilus,Anaerococcus,Streptococcus,Corynebacterium,Ruminococcaceae_3,Mobiluncus,Aerococcus,Finegoldia,L_otu5,Megasphaera,L_reuteri,Bifidobacterium,L_otu4,Gemella,Ruminococcaceae_5,Peptostreptococcus,Lachnospiraceae_10,Lactobacillales_2,Staphylococcus,Lachnospiraceae_11,Moryella,Veillonella,Coriobacteriaceae_3,Escherichia_Shigella,Dialister,Shuttleworthia,Peptococcus,Ruminococcaceae_2,Allisonella,Lachnospiraceae_2,Porphyromonas,Proteobacteria_3,Ureaplasma,Campylobacter,Olsenella,Enterobacter,Solobacterium,Faecalibacterium,Blautia,Incertae_Sedis_XI_1,Incertae_Sedis_XI_2,Proteobacteria_2,Bulleidia,Bacteroides,Actinomyces,Massilia,L_otu3,Facklamia,Arthrobacter,Mollicutes_1,Coriobacteriaceae_1,Enterococcus,Salmonella,Citrobacter,L_vaginalis,Alloscardovia,Fusobacterium,Oscillibacter,Helcococcus,Brevibacterium,Clostridium,Enterobacteriaceae_3,Oligella,Fastidiosipila,Actinobaculum,Bacteroidetes_1,Gallicola,Collinsella,L_otu2,Anaeroglobus,Roseburia,Haemophilus,Propionimicrobium,Ruminococcaceae_1,Clostridiales_12,Varibaculum,Dorea,Subdoligranulum,Helcobacillus,Arcanobacterium,L_otu1,Pasteurella,Dermabacter,Propionibacteriaceae_2,Ruminococcus,Segniliparus,Balneimonas,Xylanibacter,Ralstonia,Microbacterium,Proteobacteria_6,Clostridiales_6,Providencia,Sporacetigenium,Clostridiales_1,Nosocomiicoccus,L_plantarum_L_coleohominis_L_mucosae,Bacteroidales_2,Alphaproteobacteria_3,Coprococcus,Bacillales_1,Alphaproteobacteria_5,Eubacterium,Blastococcus,Coprobacillus,Pseudomonas,Rhizobiales_1,Sutterella,Propionibacterium,Anaerovorax,Granulicatella,Klebsiella,Parabacteroides,Succinispira,Globicatella,Lachnospiraceae_7,Alistipes,Bacillus,Sphingomonas,Turicibacter,Acinetobacter,Hallella,Proteobacteria_1,Proteobacteria_5,Cupriavidus,Delftia,Burkholderia,Enterobacteriaceae_1,Micrococcus,Acidovorax,Gulosibacter,Propionibacteriaceae_1,Ruminococcaceae_7,Aurantimonas,Megamonas,Veillonellaceae_1,Clostridiales_3,Variovorax,Enhydrobacter,Weissella,Lactobacillales_1,Zimmermannella,Lachnospiraceae_4,Coriobacteriaceae_2,Bacteroidales_1,Cloacibacterium,Methylobacterium,Archaea_7,Ruminococcaceae_4,Lachnospiraceae_8,Firmicutes_1,Janibacter,Barnesiella,Rothia,Actinomycetales_1,Neisseria,Betaproteobacteria_1,Desulfovibrio,Bacteroidetes_2,Firmicutes_2,Lachnospiraceae_6,Peptostreptococcaceae_1,Mesorhizobium,Brachybacterium,Bacteria_15,Clostridiales_11,Clostridiales_17,Desulfocurvus,Eremococcus,Neisseriaceae_1,Phyllobacterium,Alcaligenes,Stenotrophomonas,Clostridiales_8,Bacteria_11,Acidaminococcus,Akkermansia,Lachnospiraceae_1,Pediococcus,Bacteria_17,Clostridiales_10,Clostridia_1,Paraprevotella,Bacteria_8,Bradyrhizobium,Lactococcus,Mogibacterium,Novosphingobium,Clostridiales_4,Clostridiales_15,Ruminococcaceae_6,Alphaproteobacteria_4,Leptotrichia,Odoribacter,Phascolarctobacterium,Bacteria_3,Pseudoramibacter,Streptophyta,Lactobacillales_3,Skermanella,Diaphorobacter,Jonquetella,Leuconostoc,Streptosporangiaceae_1,Parasutterella,Proteus,Porphyromonadaceae_2,Fusibacter,Hymenobacter,Kocuria,TM7_genera_incertae_sedis,Aquabacterium,Bacteria_12,Bacillaceae_2,Luteimonas,Ochrobactrum,Slackia,Firmicutes_3,Comamonas,Archaea_5,Morganella,Thermus,Bacteria_7,Clostridiales_5,Bacillariophyta,Clostridiales_2,Alphaproteobacteria_6,Archaea_6,Allofustis,Brevundimonas,Butyricimonas,Bacteria_14,Janthinobacterium,Archaea_2,Porphyromonadaceae_1,Paracoccus,Lachnospiraceae_3
403_050806,1.25,98.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403_051106,4.71,94.68,0,0,0,0,0,0.1,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403_051606,4.29,95.13,0,0,0,0,0,0.07,0,0,0,0,0.15,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404_012706,0,26.79,0,0,0.2,1.61,0,0,0,13.05,26.29,0,5.47,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.45,0,0.15,0,0.15,0,0,16.66,0,0,0,0,0,1.1,2.81,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0.1,0,0.9,0,0,0,0,2.21,0,0,0.15,0,0,0,0,0,0.3,0,0,0.05,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404_013106,0,26.31,0.06,0,3.22,0.57,0,0,0,3.04,15.8,0.8,1.49,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.23,0,38.14,0.17,0,0.34,0,0.52,0,1.03,0,0.29,0,0,1.26,0,0,0,0.06,0,0.69,1.03,0,0,0.29,2.7,0,0,0.06,0.23,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404_020306,0.05,60.94,0,0,6.57,0,0.09,0,0,0.83,4.81,5.18,1.48,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,19.07,0,0,0,0,0.05,0,0,0,0,0,0,0.28,0,0,0,0,0,0.05,0.09,0,0,0,0.05,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404_020706,0,23.56,0.04,0,9.93,0,0,0,0,0.4,13.99,0.49,1.6,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0.04,0,0,49,0,0,0.04,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404_021006,0,83.4,0,0,5.5,0,0,0,0,1.15,6.17,0.58,0.49,0,0.04,0.04,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404_021406,0.1,63.99,0,0,0.44,0,0,0,0.15,0.58,6.9,0.44,6.56,0,0.05,0.15,0.19,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0,14.43,0.05,0,0,0,0.05,0.29,0,0.15,0,0,0,0.1,0,0,0,0.1,0.15,0.05,0,0,0,1.02,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.1,0,0,0.19,0,0.87,0,0,0.68,0.24,0.05,0,0.1,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404_021706,0,98.12,0,0,0,0,0,0,0.08,0.12,0.33,0,0.25,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
