,UCP2,EPB41L3,PPA1,ENPP2,MMD,SLC31A2,ENPP4,EDIL3,TLR4,RBM42,KHSRP,NR2E1,GTF2F1,DOT1L,NCLN,LAMA5,CDK6,C19orf22,CHERP,GANAB,ARAP2,UPF1,DLC1,HSPBP1,DMWD,JUND,PLEKHA4,LRRC16A,KLHL25,CC2D1A,ZNF146,VPS16,FGFR3,TYK2,LRP5,SLC6A9,SLC6A11,MYST2,MLEC,SEZ6L,SLC12A4,SCG3,QTRT1,MYO9B,PRPF31,POMT2,MEOX2,PEPD,UNC45A,TCF3,CDH4,MCC,SIPA1L1,BLM,ACSS3,LMO2,EYA2,PTBP1,KLHL4,NPEPL1,CREB5,CAMK2B,SOX2,ARNTL,AP3D1,RGS12,ADAM19,RBCK1,POFUT1,VAV3,C19orf6,CD97,GRIK5,NOS2,MEGF8,ARAP3,CD151,IRS2,LHFP,RGS6,SEMA6A,SOCS2,ACSBG1,BTBD2,TSPAN3,GLG1,SLC4A4,SCAMP4,HDAC2,NRXN2,WASF1,DPYSL4,SCN3A,ZEB2,BCAS1,MAPT,FAM125B,CHD7,ERBB3,EPHB1,RUFY3,C6orf134,HN1,C1QL1,TTC3,GPR17,PODXL2,CSNK1E,SOX11,MLLT11,GNG4,FXYD6,MTSS1,OLIG2,KIF21B,DCX,RAP2A,MARCKS,DBN1,CLASP2,PFN2,STMN1,MAP2,SOX10,AMOTL2,ALCAM,LPPR1,SOX4,NCAM1,CRMP1,MARCKSL1
C-GBM,1.8779,1.301,1.9504,2.7651,2.3835,1.935,1.8055,1.49,1.9499,1.985,1.8331,2.5676,2.6546,1.5888,1.301,1.301,1.941,2.2251,1.301,1.301,1.8407,1.8561,2.1235,2.4722,1.301,1.8401,1.6304,1.301,1.3284,1.5132,1.433,1.301,1.4942,1.9069,1.301,1.8949,2.2066,2.2188,1.301,2.1906,1.7716,2.1,1.9345,2.2819,1.301,2.2408,2.0473,1.7782,2.1764,1.301,2.0261,2.9859,2.3953,1.9294,1.6405,2.7229,2.4234,2.7345,1.8954,1.301,1.9523,1.5966,1.4456,2.7167,1.7459,1.301,1.301,2.3426,1.9859,2.159,2.8442,1.5729,1.9445,2.0652,1.5922,1.7767,1.6263,1.8871,1.301,1.8376,1.716,1.3784,2.7979,1.301,1.4346,1.9934,1.5855,1.798,1.9036,3.5109,1.9025,1.7723,1.8627,1.4216,2.2087,2.4548,2.1948,2.5984,2.0531,2.0228,3.265,1.6107,1.7076,2.0715,1.301,1.301,1.301,1.301,1.7101,2.2156,2.3974,1.7093,1.301,1.8209,1.4609,1.5999,1.5105,2.9179,3.273,1.4742,1.6335,2.209,1.9741,2.1239,2.2052,1.301,1.7543,2.6719,2.5744,2.8503,1.7903
C-GBM,2.651,2.2902,2.4366,2.4275,2.8187,2.2285,2.1744,2.1065,2.0915,2.1374,2.1857,2.0177,2.1898,1.8614,1.3944,1.5444,1.3247,2.1717,1.301,2.3043,2.5842,2.1024,2.1248,2.1721,3.16,2.0653,1.5329,2.0648,2.6911,2.076,2.4152,2.2234,1.6557,1.774,1.301,2.2172,2.2995,2.2708,1.301,1.301,2.4956,2.3116,2.7207,2.4485,2.0878,2.5827,1.301,2.1362,3.2681,1.301,2.1295,3.2904,2.5737,1.9812,1.6778,2.6005,2.7491,3.0365,1.8791,2.219,2.2328,2.0083,1.5329,2.4079,2.2781,1.301,2.3597,2.4271,2.1078,2.3612,3.0427,1.3432,1.7544,2.5985,1.8559,1.9328,1.8081,1.9523,2.3003,2.8262,1.6468,1.8422,2.9455,1.9295,2.6256,2.2885,2.0122,2.0442,2.1042,3.5108,1.9039,1.8255,1.9214,2.038,2.1047,2.5449,2.3734,2.607,2.308,2.4936,3.3676,1.7918,1.301,3.3058,1.8045,1.9433,1.942,2.7543,1.9883,1.5557,3.3923,1.9924,2.212,2.0122,1.9924,2.1561,1.7349,3.0544,3.4487,1.301,1.301,1.4908,2.1333,1.301,2.1295,1.8229,2.0765,2.4583,2.0721,1.9234,2.2502
C-GBM,2.2211,2.3023,3.0451,2.4381,2.4627,1.9712,2.289,1.4363,2.0414,2.2328,2.0021,2.3908,2.3283,2.0743,2.1606,1.301,1.8831,2.55,1.5273,1.4803,1.8178,1.3487,2.3511,2.8062,2.205,1.8491,1.8956,1.3532,2.7031,1.301,1.8607,2.5214,1.46,1.8254,1.301,1.9247,2.1908,2.0269,1.9582,1.8939,1.9779,2.3749,2.3637,2.2897,1.301,2.3915,1.3305,1.8264,2.6519,1.3502,1.9429,3.0265,2.578,1.8909,1.5409,2.7703,2.6819,2.8888,1.8571,1.301,2.2535,1.5504,1.8765,2.8373,1.7713,2.183,1.4007,2.1672,2.0365,2.2149,2.8398,1.7858,1.7992,2.3797,2.5014,2.0107,1.3873,1.9512,1.7836,2.1408,2.0799,1.6779,2.8793,1.3382,2.0453,2.2809,1.6354,2.3315,2.3496,3.5462,1.9863,2.3164,1.7337,2.409,2.0322,2.4215,2.205,2.5337,2.0235,2.3699,3.1831,2.3061,2.0655,2.9887,2.0411,1.622,1.7398,1.301,1.6594,2.0498,2.9064,2.1425,1.301,2.0139,2.1091,1.301,2.5314,2.8265,3.3278,1.6034,2.1372,2.3508,2.1511,2.417,2.3526,1.301,1.9968,2.7281,2.5713,2.9195,2.255
C-GBM,2.1688,2.1251,2.9937,2.2536,2.6757,2.1205,2.4649,1.4841,1.9781,2.3643,1.9414,2.268,2.1878,2.0546,2.2504,1.6357,1.8966,2.2,1.8207,1.9964,1.5173,1.3087,2.3352,2.9788,1.6205,2.0338,2.1002,1.301,2.3123,1.5221,2.1759,2.3446,1.6468,2.0065,1.3931,1.9113,2.2058,2.0645,1.4154,1.7641,2.0323,2.4916,2.5751,2.2443,1.3765,2.5667,1.4997,1.8757,2.6571,1.301,2.2264,3.0237,2.5819,1.9437,1.6933,2.5856,2.5648,2.9173,1.9798,1.301,2.4031,1.8164,2.0427,2.8607,1.802,1.301,1.301,2.2594,2.0297,2.2488,2.8167,1.301,1.6901,2.5702,2.1122,1.7845,1.8941,1.9952,1.301,2.3513,1.8183,1.7347,2.8235,1.9669,1.6513,2.3877,1.9665,2.3187,2.3894,3.6699,2.0578,2.469,1.8439,2.2859,2.1583,2.5283,2.3053,2.437,2.4125,2.4511,3.1263,2.3231,1.3714,2.9786,1.8262,1.5615,1.9196,1.4395,1.7347,1.7641,2.5707,2.3173,1.301,2.1759,2.1365,1.301,2.6753,2.9571,3.3759,1.301,2.2375,2.1946,2.0878,1.3832,2.2558,1.301,1.9786,2.654,2.2276,2.4878,2.2625
C-GBM,2.5758,1.706,2.5136,2.9066,2.5784,2.2002,2.3675,1.9591,1.8975,1.9562,2.2755,2.0717,2.0216,2.0987,1.301,1.3054,1.4559,1.8768,1.301,2.2493,2.4102,2.0872,2.0994,2.3158,2.9362,1.9744,1.3817,2.2528,2.0657,1.5057,1.9532,2.1872,1.5377,2.1695,1.301,1.7523,2.2036,2.3504,1.301,1.522,2.4433,2.1796,2.7173,2.4372,1.6361,2.4827,1.6065,2.1029,3.1295,1.301,2.0157,3.1535,2.5407,2.0901,1.7231,2.5689,2.6279,2.9129,1.8095,1.9707,1.9937,1.5578,1.7585,2.2684,2.047,1.301,2.4565,2.5322,2.0422,2.2543,3.1291,1.3472,1.6402,2.6829,1.4682,2.0182,1.7231,1.7412,2.3359,2.6488,1.7007,1.301,2.6768,1.522,2.5079,2.1091,2.233,1.6299,2.0664,3.6376,2.2755,1.6502,1.7363,1.6696,2.0131,2.3408,2.1883,2.338,2.058,2.4108,3.2234,2.0915,1.301,3.1168,1.6151,1.6361,1.5839,2.6524,1.8964,1.5166,3.2186,1.9108,1.7631,2.085,1.893,2.0009,1.9581,3.0034,3.3974,1.301,1.5139,1.8649,1.8685,1.301,2.0747,1.3629,1.6882,2.5597,2.1511,2.0406,2.4036
C-GBM,2.2895,3.0499,2.916,2.4182,2.2479,1.9798,2.0444,1.5476,2.1027,2.1981,2.0065,2.3271,2.2853,2.2264,2.3511,1.8236,1.7023,2.6137,1.5527,1.7207,1.301,1.301,2.2708,2.5978,1.301,1.7425,1.8063,1.4858,2.7416,1.5102,2.1688,1.8229,1.6519,2.0751,1.3811,1.6802,2.2749,1.9,2.4112,1.7912,2.3187,2.2948,2.3079,2.3958,1.301,2.3296,1.301,1.9112,2.4785,2.1195,1.8994,3.066,2.5918,1.6745,1.7014,3.1561,2.6336,2.9607,1.7771,1.301,2.0213,1.301,1.301,2.6535,1.5961,1.7602,1.4291,2.5009,1.914,2.1944,2.8435,2.102,1.8977,2.5268,2.0015,2.0864,1.301,2.0082,1.301,2.1535,2.0386,1.4858,2.7707,1.301,1.8948,2.1964,1.8802,1.8879,2.0952,3.6365,2.0336,2.3307,1.8784,2.2248,1.8236,2.3685,2.141,2.4515,2.1045,2.0955,3.1449,2.2197,2.2106,2.8946,1.797,1.7718,1.301,1.4423,1.7883,2.1307,2.7983,2.1586,1.4257,2.0604,1.9365,1.301,1.9751,2.9421,3.3929,2.4794,1.4798,2.2775,1.9397,2.9523,2.2737,1.6658,1.8843,2.6988,2.4182,3.1023,2.2659
C-GBM,2.1188,2.8351,2.8867,2.364,2.6431,1.9845,2.237,1.4046,2.1692,2.3605,1.8914,1.9472,1.8974,2.2346,2.4453,1.301,1.6935,2.8259,1.5299,2.4666,2.1772,1.3462,2.4955,2.5983,2.0073,2.0185,1.934,1.301,2.6627,1.5708,1.9288,1.4735,1.4404,1.9625,1.301,2.0549,2.2862,2.1459,2.0328,1.779,2.024,2.243,2.4789,2.2811,1.6593,2.371,1.301,1.9852,2.311,1.301,2.302,2.9715,2.5836,1.7583,1.7321,3.0484,2.6915,2.8845,2.2074,1.3163,2.1548,1.7302,2.251,2.7429,1.6057,1.6907,1.301,2.3777,1.9521,2.2385,2.7451,2.0534,1.9588,2.7277,2.2115,1.8413,1.5807,2.0476,1.301,2.4681,1.7535,1.7929,2.853,1.6942,1.5886,2.3326,2.0492,2.0764,2.3602,3.5639,1.9673,2.4797,1.8673,2.3215,2.1423,2.6051,2.3861,2.5422,2.1997,2.2885,3.172,2.0933,1.9852,3.2048,2.1861,2.1667,1.5021,1.301,1.8198,2.0328,3.4951,1.9437,1.301,2.044,1.7835,1.7352,2.7361,3.0393,3.3563,2.2175,1.5616,2.2115,1.5816,2.0971,2.1821,1.301,1.6731,2.7358,2.7065,2.4677,2.1289
C-GBM,2.1547,2.8746,2.7438,2.5739,2.6606,1.9813,1.8752,1.479,2.2385,2.4131,1.9622,2.0453,1.9479,2.1275,2.1656,1.5412,1.8901,2.6581,1.301,1.301,1.426,1.301,2.2841,2.4339,1.301,1.9349,1.9211,1.301,2.51,1.8527,2.249,1.7023,1.5957,1.795,1.301,1.4591,2.1581,1.9068,1.9118,2.007,1.8412,2.4099,2.2293,2.6349,1.301,2.2058,1.301,1.9118,2.4319,1.301,1.8026,2.8333,2.5297,1.9375,1.5957,3.1539,2.4373,2.8235,2.3522,1.301,1.9442,1.5547,1.301,2.7684,1.5557,1.7152,1.301,2.4311,1.8173,2.1694,2.756,1.9982,1.6706,2.619,1.9681,2.1007,1.301,2.1217,1.301,2.2137,1.9771,1.6722,2.809,1.301,1.6279,2.2881,2.026,2.0703,2.0246,3.4424,1.9281,2.4024,1.7944,2.2046,2.1164,2.5904,2.257,2.6229,2.1862,2.1811,3.2333,1.91,2.1802,2.951,1.9626,1.5316,1.6373,1.301,1.8043,2.6535,3.0498,1.8145,1.301,2.065,1.7788,1.8863,2.2692,2.9751,3.2742,2.4229,1.4704,2.1888,1.8396,2.6071,2.2436,1.301,1.9375,2.8396,2.6586,2.756,2.194
C-GBM,2.2329,1.8457,3.071,2.5213,2.5282,2.0556,2.1044,1.5016,2.0721,2.274,2.1819,2.4188,2.4297,2.1724,2.2881,1.5257,1.8487,2.5087,1.6308,1.7565,1.4304,1.301,2.3963,2.8119,2.2427,2.0473,1.8965,1.5045,2.1878,1.7802,2.3046,1.6046,1.511,1.9986,1.301,1.7274,2.2987,2.1851,1.7543,1.9733,1.8828,2.278,2.6851,2.0635,1.4337,2.4931,1.5978,1.9897,2.4542,1.301,2.247,2.8698,2.6577,2.1219,1.7527,2.7878,2.5302,2.7675,2.1248,1.301,2.2234,1.7336,2.0344,2.6517,1.8483,1.979,1.301,2.3548,1.9478,2.1998,2.9292,1.301,1.9691,2.481,1.8622,1.8785,1.6364,2.015,1.858,2.3856,1.8387,1.7659,2.8122,1.4326,1.6157,2.3887,2.1461,1.8961,2.2478,3.5275,2.031,2.427,1.8757,2.1973,2.2876,2.5967,2.3528,2.5043,2.3232,2.2297,3.1768,2.242,1.301,3.1178,2.0799,1.6515,1.5636,1.301,1.7397,2.1096,3.1458,1.7842,1.301,2.0977,1.8378,1.84,2.4584,3.0474,3.283,1.301,1.8745,2.2279,2.1441,2.5528,2.1411,1.3423,1.9599,2.7954,2.5829,2.8184,2.3058
C-GBM,2.454,1.8592,3.0837,2.4039,2.8888,2.0989,2.2527,1.6796,2.0401,2.3826,1.9491,1.8239,1.8691,1.8022,2.1835,1.5395,2.2117,2.2848,1.301,1.6163,2.2996,1.9239,2.4108,3.1729,2.5429,2.0309,1.7134,1.301,1.301,1.4124,2.4407,2.5617,1.6937,2.0262,1.301,2.118,2.2885,2.2187,1.301,1.443,2.0162,2.4895,2.4564,2.2677,1.428,2.48,1.4895,2.0743,2.6537,1.301,2.354,2.9608,2.8009,2.2041,1.6097,2.5905,2.7994,2.981,2.1011,1.301,2.2343,1.8366,1.6097,2.4433,1.7957,1.5329,1.3757,2.5475,2.2257,2.468,2.9288,1.301,1.7382,2.5781,2.4963,2.1184,1.301,2.1615,2.0193,2.1655,2.1609,1.5097,3.0743,1.6825,2.233,2.245,2.1187,2.1523,2.5503,3.5706,1.8948,2.2061,1.7884,2.2996,2.4019,2.7281,2.5599,2.8389,2.3824,2.3734,3.108,2.419,1.301,2.3734,2.0495,1.301,1.301,1.625,1.8379,1.6768,2.9816,2.0927,1.301,2.3005,1.8842,1.301,2.7266,3.143,3.394,1.301,1.7906,2.1696,2.2372,1.301,2.2871,1.301,2.3361,2.8786,2.7923,1.6357,2.1513
